sl_pct,tp_pct,reward_risk,total_trades,wins,losses,win_rate,profit_factor,expectancy,premature_stops,premature_pct,total_profit,total_loss,net_profit
5.0,7.0,1.4,6317,1822,4495,0.2884280512901694,0.5674749721913237,-1.5388633845179678,76,0.016907675194660732,12754.0,22475.0,-9721.0
5.0,8.0,1.6,5773,1278,4495,0.221375368092846,0.4549054505005562,-2.122120214793002,46,0.010233592880978866,10224.0,22475.0,-12251.0
5.0,10.0,2.0,5163,668,4495,0.12938214216540772,0.2972191323692992,-3.0592678675188836,18,0.004004449388209121,6680.0,22475.0,-15795.0
5.0,12.0,2.4,4816,321,4495,0.06665282392026578,0.17139043381535038,-3.866901993355482,13,0.0028921023359288096,3852.0,22475.0,-18623.0
5.0,15.0,3.0,4634,139,4495,0.029995684074233923,0.09276974416017797,-4.400086318515322,4,0.0008898776418242492,2085.0,22475.0,-20390.0
6.0,1.0,0.16666666666666666,29343,26245,3098,0.8944211566642811,1.4119324295244244,0.2609480966499679,1346,0.43447385409941897,26245.0,18588.0,7657.0
6.0,1.5,0.25,23818,20720,3098,0.8699303048114871,1.672046481601033,0.5244772860861535,882,0.28469980632666236,31080.0,18588.0,12492.0
6.0,2.0,0.3333333333333333,19615,16517,3098,0.8420596482283966,1.7771680654185495,0.736477185827173,628,0.2027114267269206,33034.0,18588.0,14446.0
6.0,2.5,0.4166666666666667,16245,13147,3098,0.8092951677439212,1.7682106735528298,0.87900892582333,462,0.14912846998063267,32867.5,18588.0,14279.5
6.0,3.0,0.5,13380,10282,3098,0.7684603886397608,1.659457714654616,0.9161434977578475,362,0.11684958037443512,30846.0,18588.0,12258.0
6.0,4.0,0.6666666666666666,9609,6511,3098,0.67759392236445,1.4011190015063482,0.7759392236445004,219,0.07069076823757263,26044.0,18588.0,7456.0
6.0,5.0,0.8333333333333334,7325,4227,3098,0.5770648464163822,1.1370238863783086,0.3477133105802044,144,0.046481601032924466,21135.0,18588.0,2547.0
6.0,6.0,1.0,5862,2764,3098,0.47151142954622993,0.8921885087153002,-0.3418628454452408,88,0.028405422853453842,16584.0,18588.0,-2004.0
6.0,7.0,1.1666666666666667,4945,1847,3098,0.37350859453993934,0.6955562728642135,-1.1443882709807882,51,0.01646223369916075,12929.0,18588.0,-5659.0
6.0,8.0,1.3333333333333333,4394,1296,3098,0.2949476558944015,0.5577792123950936,-1.870732817478379,28,0.009038089089735314,10368.0,18588.0,-8220.0
6.0,10.0,1.6666666666666667,3770,672,3098,0.17824933687002653,0.3615235635894125,-3.1480106100795755,14,0.004519044544867657,6720.0,18588.0,-11868.0
6.0,12.0,2.0,3423,325,3098,0.09494595384165937,0.20981278244028406,-4.290972830850132,9,0.002905100064557779,3900.0,18588.0,-14688.0
6.0,15.0,2.5,3239,141,3098,0.04353195430688484,0.11378308586184635,-5.0858289595554185,2,0.0006455777921239509,2115.0,18588.0,-16473.0
7.0,1.0,0.14285714285714285,28856,26683,2173,0.9246950374272248,1.7541910459535863,0.39756029941779847,908,0.41785549930971005,26683.0,15211.0,11472.0
7.0,1.5,0.21428571428571427,23172,20999,2173,0.9062230277921629,2.07077115245546,0.7028957362333846,603,0.2774965485503912,31498.5,15211.0,16287.5
7.0,2.0,0.2857142857142857,18879,16706,2173,0.8848985645426135,2.1965682729603575,0.9640870808835216,439,0.20202485043718363,33412.0,15211.0,18201.0
7.0,2.5,0.35714285714285715,15454,13281,2173,0.8593891549113498,2.18279534547367,1.1641969716578235,328,0.1509433962264151,33202.5,15211.0,17991.5
7.0,3.0,0.42857142857142855,12559,10386,2173,0.8269766701170476,2.048386036421011,1.2697667011704759,258,0.11872986654394846,31158.0,15211.0,15947.0
7.0,4.0,0.5714285714285714,8752,6579,2173,0.7517138939670932,1.7300637696403918,1.2688528336380251,151,0.06948918545789232,26316.0,15211.0,11105.0
7.0,5.0,0.7142857142857143,6446,4273,2173,0.6628917157927396,1.4045756360528565,0.9547005895128757,98,0.04509894155545329,21365.0,15211.0,6154.0
7.0,6.0,0.8571428571428571,4975,2802,2173,0.5632160804020101,1.1052527775951615,0.3218090452261313,50,0.02300966405890474,16812.0,15211.0,1601.0
7.0,7.0,1.0,4042,1869,2173,0.4623948540326571,0.8601012425218592,-0.5264720435428005,29,0.013345605154164749,13083.0,15211.0,-2128.0
7.0,8.0,1.1428571428571428,3479,1306,2173,0.3753952285139408,0.6868713431069621,-1.3690715722908884,18,0.008283479061205707,10448.0,15211.0,-4763.0
7.0,10.0,1.4285714285714286,2849,676,2173,0.23727623727623728,0.44441522582341725,-2.9663039663039665,10,0.004601932811780948,6760.0,15211.0,-8451.0
7.0,12.0,1.7142857142857142,2502,329,2173,0.13149480415667467,0.25954901058444546,-4.501598721023181,5,0.002300966405890474,3948.0,15211.0,-11263.0
7.0,15.0,2.142857142857143,2315,142,2173,0.061339092872570194,0.14003024127276315,-5.650539956803455,1,0.0004601932811780948,2130.0,15211.0,-13081.0
8.0,1.0,0.125,28466,26896,1570,0.9448464835242043,2.1414012738853505,0.5036183517178388,695,0.4426751592356688,26896.0,12560.0,14336.0
